Week Ending,Estimate,MMWR_Year,MMWR_Week,Enrollment Date,CMS Data As of date,Race and Ethnicity
03/23/2024 12:00:00 AM,6.01,2024,12,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
03/30/2024 12:00:00 AM,6.08,2024,13,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Hispanic
12/02/2023 12:00:00 AM,13.73,2023,48,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
12/09/2023 12:00:00 AM,14.68,2023,49,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
12/16/2023 12:00:00 AM,15.55,2023,50,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
12/23/2023 12:00:00 AM,16.28,2023,51,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
12/30/2023 12:00:00 AM,16.74,2023,52,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
12/02/2023 12:00:00 AM,14.42,2023,48,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
12/09/2023 12:00:00 AM,15.4,2023,49,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
12/16/2023 12:00:00 AM,16.31,2023,50,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
12/23/2023 12:00:00 AM,17.06,2023,51,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
12/30/2023 12:00:00 AM,17.55,2023,52,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
12/02/2023 12:00:00 AM,6.69,2023,48,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
12/09/2023 12:00:00 AM,7.21,2023,49,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
12/16/2023 12:00:00 AM,7.71,2023,50,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
12/23/2023 12:00:00 AM,8.18,2023,51,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
12/30/2023 12:00:00 AM,8.49,2023,52,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Black, Non-Hispanic"
12/02/2023 12:00:00 AM,13.15,2023,48,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
12/09/2023 12:00:00 AM,14.13,2023,49,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
12/16/2023 12:00:00 AM,14.99,2023,50,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
12/23/2023 12:00:00 AM,15.74,2023,51,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
12/30/2023 12:00:00 AM,16.24,2023,52,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Other, Non-Hispanic"
12/02/2023 12:00:00 AM,9.9,2023,48,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"Asian, Non-Hispanic"
